public,id,is_event_location,is_facility,is_shop,is_exhibit,name,organization,department,description,area_id,lat,lng,indoor_x,indoor_y,img_name
TRUE,LC-001,TRUE,TRUE,TRUE,TRUE,本部,海王祭実行委員会,,本部,,35.66742024,139.7911257,,,
TRUE,LC-002,FALSE,TRUE,TRUE,TRUE,海王祭実行委員会ブース,海王祭実行委員会,,海王祭実行委員会の模擬店では ノンアルコールビール、海王祭グッズ、 船舶模型、ビンゴカードを 販売いたします！,,35.66738266,139.7910868,,,
TRUE,LC-003,FALSE,TRUE,TRUE,TRUE,ベビーカー置き場,海王祭実行委員会,,test2,,35.66733145,139.7910231,,,
TRUE,LC-004,FALSE,FALSE,TRUE,TRUE,日本海洋塾,日本海洋塾,,test3,,35.6677760,139.7907338,,,
TRUE,LC-005,FALSE,FALSE,TRUE,TRUE,日本海事代理士会,日本海事代理士会,,ブースでは、海事代理士による無料法令相談を行います。 模擬店では、軽食提供等を行います。 どなたでもお気軽にお立ち寄りください。,,35.6677303,139.7906747,,,
TRUE,LC-006,FALSE,FALSE,TRUE,TRUE,ナカシマプロペラ株式会社,ナカシマプロペラ株式会社,,船を動かす“プロペラ”がキャンドルに！？ 世界にひとつだけのプロペラキャンドルをつくりませんか？ 楽しく体験しながら、本物のプロペラの“製造方法”も学べます。,,35.6676801,139.7906077,,,
TRUE,LC-007,FALSE,FALSE,TRUE,TRUE,今治造船株式会社,今治造船株式会社,,VRゴーグルを装着することで、まるで造船所にいるかのような没入感のある見学体験が可能です。普段はなかなか見ることができない建造中の船を歩いたり飛んだり･･･とご自身が操作することで、自由に体感することができます。,,35.6676289,139.7905380,,,
TRUE,LC-008,FALSE,FALSE,TRUE,TRUE,海洋会,海洋会,,素敵なオリジナルグッズや明治丸グッズを販売します。公式「明治丸　御船印」も登場、来場記念にどうぞ！,,35.66776362,139.7909335,,,
TRUE,LC-009,FALSE,FALSE,TRUE,TRUE,株式会社日本海事新聞社,株式会社日本海事新聞社,,学生の皆さんに電子版無料ログインID&PWを配布するほか、来場者に発行日前の新聞(6月16日付)を無料配布いたします！,,35.6677205,139.7909872,,,
TRUE,LC-010,FALSE,FALSE,TRUE,FALSE,総合創作誌発行企画,総合創作誌発行企画,,創作誌の販売と活動紹介をいたします！ さまざまな作品をぜひご覧ください。,,35.6676327,139.7910938,,,
TRUE,LC-011,FALSE,FALSE,TRUE,FALSE,食飯とダンス公演,ダンス部EXSEAD,,屋外ステージでダンス公演を行います！各ジャンルの発表に加え、さまざまな有志も見どころです   ぜひご覧ください！また、模擬店ブースではたこ焼きの販売も行います！,,35.6675843,139.7911495,,,
TRUE,LC-012,FALSE,FALSE,TRUE,FALSE,,軽音楽部,,揚げ立てのからあげを販売いたします！ また、バンド発表も行います！,,35.6675385,139.7912031,,,
TRUE,LC-013,FALSE,FALSE,TRUE,FALSE,串だんご,東洋海洋大学合気道部,,合気道部は屋外テントにてお団子を販売しています！お好きな生地のお団子とお好きな餡・たれを選んで、ぜひおいしい串団子を片手に海王祭をお楽しみください！！,,35.6674927,139.7912581,,,
TRUE,LC-014,FALSE,FALSE,TRUE,FALSE,ホットドッグ、フランクフルト,越中島硬式テニス部,,パリッとジューシーなフランクフルトとそれをバンズでサンドして熱々に仕上げたホットドッグです！,,35.6673587,139.7912568,,,
TRUE,LC-015,FALSE,FALSE,TRUE,FALSE,チョコバナナ,男子バレーボール部,,毎年人気のチョコバナナを今年も販売します！暑い日にぴったりなバナナスムージーも販売するのでぜひご賞味ください！,,35.6673293,139.7912923,,,
TRUE,LC-016,FALSE,FALSE,TRUE,FALSE,山名物！！ポテトフライ,山岳部,,カリッカリに揚がってます！,,35.6673015,139.7913285,,,
TRUE,LC-017,FALSE,FALSE,TRUE,FALSE,チュロス,バスケットボール部,,外はサクサク，中はもちっと。 海を感じる特別なチュロスにしました！,,35.6672748,139.7913580,,,
TRUE,LC-018,FALSE,FALSE,TRUE,FALSE,本格パエリア,木曜会,,スペインの味を500円で楽しめる！海の幸や鶏肉の旨味が、お米一粒一粒に閉じ込められた贅沢パエリア♪,,35.6672481,139.7913929,,,
TRUE,LC-019,FALSE,FALSE,TRUE,FALSE,揚げアイス,ネットボール部,,ネットボール部にかける思いのようにひんやりアイスをサクッと揚げます！ ぜひご賞味あれ！,,35.6672182,139.7914325,,,
TRUE,LC-020,FALSE,FALSE,TRUE,FALSE,特性スタミナ油そば,東京海洋大学・水泳部,,いつもは大会等があり、参加を見送ることが多かった我々水泳部ですが、今回の海王祭りでは満を持して出店させていただきます。水泳部が一丸となって作った油そば食べてみたくなりませんか！？,,35.6671822,139.7914767,,,
TRUE,LC-021,FALSE,FALSE,TRUE,FALSE,輸血パックドリンク,お嬢様部&ピューロランド部,,お嬢様部とピューロランド部のコラボ！ワクワク満点の輸血パックドリンク！,,35.6671501,139.7915176,,,
TRUE,LC-022,FALSE,FALSE,TRUE,FALSE,空手部のお好み焼き,空手道部,,広島出身の部員監修によるお好み焼きです！こだわった一品をぜひ。,,35.6669785,139.7917228,,,
TRUE,LC-023,FALSE,FALSE,TRUE,FALSE,最適解ワッフル,芝浦祭実行委員会,,ミックスベリーを乗せた最適解ワッフルを 販売いたします！ ソースはチョコ、イチゴ、ブルーベリー、 メープルをご用意しております。,,35.6671114,139.7915599,,,
TRUE,LC-024,FALSE,FALSE,TRUE,FALSE,カニレース,ネクトンカフェ,,,,35.6670814,139.7915981,,,
TRUE,LC-025,FALSE,FALSE,TRUE,FALSE,魚介ラーメン,あさり会,,品川キャンパスから来ました、あさり会です。品川キャンパスらしく魚介料理を提供します。品川キャンパス自治委員会委員長推奨のおいしい料理をぜひご賞味ください。,,35.6670433,139.7916410,,,
TRUE,LC-026,FALSE,FALSE,TRUE,FALSE,門仲晃一,門仲晃一,,クリームチーズが入ったライスコロッケ！！チキンライスとカレーピラフの２種類あります！！門仲晃一定番、特製唐揚げもご用意！！,,35.6670123,139.7916786,,,
TRUE,LC-027,FALSE,FALSE,TRUE,FALSE,クジラ肉の唐揚げ,剣道部,,珍しいクジラ肉の唐揚げを販売いたします！ 香ばしく揚げた一品を、ぜひご賞味ください。,,35.6669469,139.7917631,,,
TRUE,LC-028,FALSE,FALSE,TRUE,FALSE,シェイク,カヌー部,,カヌー部では、いちご・抹茶・キャラメル・ コーヒー・オレオから選べるシェイクを 販売しています。 ぜひお越しください！,,35.6669082,139.7918093,,,
TRUE,LC-029,FALSE,FALSE,TRUE,FALSE,海鮮焼そば,東京海洋大学ヨット部,,海鮮のうまみがたっぷり入った焼きそばを 販売いたします！,,35.6668750,139.7918502,,,
TRUE,LC-030,FALSE,FALSE,TRUE,FALSE,焼きグソクムシ販売・アンサンブル他,東京海洋大学・共立薬科大学管弦楽団,,オーケストラ部です！テントにて焼きグソクムシ、焼き鳥、ラムネの販売、ス ーパーボールすくい、教室にてアンサンブルおよびグッズ販売をいたしま す！ぜひお越しください！,,35.6668396,139.7918925,,,
TRUE,LC-031,FALSE,FALSE,TRUE,FALSE,生協学生委員会海王祭模擬店,東京海洋大学越中島生協学生委員会,,生協学生委員会では、海洋大グッズ、瓶飲料の販売と水風船釣りを行います！ぜひ一度覗いてみてください！！,,35.6669616,139.7918931,,,
TRUE,LC-032,FALSE,FALSE,TRUE,FALSE,ベビーカステラ,海事普及会,,ふんわり甘いベビーカステラを販売します。 食べ歩きにぜひどうぞ！ トッピングもございます！,,35.66690034,139.7919698,,,
FALSE,LC-033,FALSE,FALSE,TRUE,FALSE,出張うみがめ研究会,うみがめ研究会,,,,,,,,
FALSE,LC-034,FALSE,FALSE,TRUE,TRUE,事業紹介,防衛省自衛隊,,,,,,,,
FALSE,LC-035,TRUE,,,,ステージ,,,,AR-01,,,,,
